Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
LOC_Os02g55140.1	LOC_Os02g55140.1	5	5	5	"LOC_Os02g55140.1 LOC_Os02g55140.1|13102.m06319|protein leucine aminopeptidase, chloroplast precursor, putative, expressed"	1	5	5	5	2	5	5	5	4	3	2	5	5	5	4	3	2	5	5	5	4	3	13.5	13.5	13.5	61.818	598	598	0	32.93	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.8	13.5	13.5	13.5	9.9	8.2	659570000	47468000	141940000	102110000	113650000	115190000	139220000	111650000	96963000	97913000	65431000	77246000	66233000	2	2	2	4	3	3	16				1068	5512;7862;9891;11899;12651	True;True;True;True;True	5834;8307;10444;12720;13527	32975;32976;32977;32978;32979;32980;47226;47227;47228;47229;59090;59091;59092;59093;72232;72233;72234;72235;72236;76882;76883;76884;76885;76886	24480;24481;24482;24483;24484;35201;35202;35203;43598;43599;43600;43601;53487;53488;53489;56927	24480;35203;43600;53488;56927		
LOC_Os06g08320.1;LOC_Os02g55370.1	LOC_Os06g08320.1;LOC_Os02g55370.1	1;1	1;1	1;1	"LOC_Os06g08320.1 LOC_Os06g08320.1|13106.m00869|protein 60S ribosomal protein L39, putative, expressed;LOC_Os02g55370.1 LOC_Os02g55370.1|13102.m06347|protein 60S ribosomal protein L39, putative, expressed"	2	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	19.6	19.6	19.6	6.4847	51	51;51	0.0096178	1.5719		By MS/MS	By MS/MS	By matching		By MS/MS	0	19.6	19.6	19.6	0	19.6	173350000	0	24116000	14177000	71885000	0	63169000	0	0	0	0	0	41284000	0	1	1	0	0	1	3				1069	11782	TRUE	12597	71463;71464;71465;71466	52931;52932;52933	52931		
LOC_Os02g55420.1	LOC_Os02g55420.1	6	6	6	"LOC_Os02g55420.1 LOC_Os02g55420.1|13102.m06354|protein aminotransferase, classes I and II, domain containing protein, expressed"	1	6	6	6	6	5	6	4	4	4	6	5	6	4	4	4	6	5	6	4	4	4	14.2	14.2	14.2	50.35	458	458	0	19.869	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.2	12.2	14.2	10.3	11.1	10.3	1058900000	190550000	168140000	193860000	173440000	167960000	164930000	156580000	154240000	152930000	134080000	128520000	132500000	2	2	3	3	4	3	17				1070	1588;4204;5240;7381;9435;14642	True;True;True;True;True;True	1692;4455;5542;7807;9969;15639	9715;9716;9717;9718;9719;9720;25230;25231;25232;25233;25234;31193;31194;31195;31196;44356;44357;44358;44359;44360;44361;56547;56548;56549;56550;56551;89347;89348;89349	7203;7204;7205;18742;18743;18744;23116;23117;23118;23119;33050;33051;33052;41808;66656;66657;66658	7204;18743;23119;33050;41808;66657		
LOC_Os02g55440.2;LOC_Os02g55440.1	LOC_Os02g55440.2;LOC_Os02g55440.1	6;6	6;6	6;6	"LOC_Os02g55440.2 LOC_Os02g55440.2|13102.m06356|protein transmembrane 9 superfamily member, putative, expressed;LOC_Os02g55440.1 LOC_Os02g55440.1|13102.m06357|protein transmembrane 9 superfamily member, putative, expressed"	2	6	6	6	5	5	5	5	6	6	5	5	5	5	6	6	5	5	5	5	6	6	11.7	11.7	11.7	74.134	665	665;665	0	34.066	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9	9	9	9	11.7	11.7	2813700000	477510000	413500000	466940000	480990000	456090000	518630000	396360000	333220000	348010000	315930000	301860000	286840000	6	5	5	3	4	3	26				1071	2745;6650;10181;13126;15418;16258	True;True;True;True;True;True	2926;2927;7029;10746;14023;16475;16476;17365	16773;16774;16775;16776;16777;16778;16779;16780;16781;16782;16783;39937;39938;60948;60949;60950;60951;60952;60953;79527;79528;79529;79530;79531;79532;94244;94245;94246;94247;94248;94249;94250;94251;94252;94253;94254;94255;99596;99597;99598;99599;99600;99601	12452;12453;12454;12455;12456;12457;12458;29537;45087;45088;45089;45090;45091;58895;58896;58897;58898;58899;58900;70321;70322;70323;70324;70325;74527;74528	12455;29537;45090;58899;70321;74528	429;430;431	86;129;191
LOC_Os02g55590.3;LOC_Os02g55590.2;LOC_Os02g55590.1	LOC_Os02g55590.3;LOC_Os02g55590.2;LOC_Os02g55590.1	1;1;1	1;1;1	1;1;1	LOC_Os02g55590.3 LOC_Os02g55590.3|13102.m12342|protein expressed protein;LOC_Os02g55590.2 LOC_Os02g55590.2|13102.m12341|protein expressed protein;LOC_Os02g55590.1 LOC_Os02g55590.1|13102.m06377|protein expressed protein	3	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	4.5	4.5	4.5	42.531	382	382;424;546	0	3.8782	By MS/MS	By MS/MS	By MS/MS				4.5	4.5	4.5	0	0	0	734540000	206140000	225650000	302750000	0	0	0	0	0	287810000	0	0	0	2	1	1	0	0	0	4				1072	12529	TRUE	13399	76221;76222;76223	56497;56498;56499;56500	56500		
LOC_Os02g55630.1	LOC_Os02g55630.1	10	10	10	"LOC_Os02g55630.1 LOC_Os02g55630.1|13102.m06381|protein COBW domain containing protein, putative, expressed"	1	10	10	10	8	9	9	9	9	8	8	9	9	9	9	8	8	9	9	9	9	8	27.5	27.5	27.5	49.166	447	447	0	130.91	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.7	24.8	24.8	26.4	26.4	23.7	8618300000	1150000000	1319300000	1126800000	1687400000	1669100000	1665800000	1167600000	1135800000	1104700000	924970000	951270000	1033000000	7	9	8	10	7	8	49				1073	352;4947;5584;5718;6675;7025;7232;8374;10697;14711	True;True;True;True;True;True;True;True;True;True	371;5239;5913;6052;6053;7055;7426;7651;8850;11430;15712	2102;2103;29516;29517;29518;29519;29520;29521;29522;29523;29524;33434;33435;33436;33437;33438;33439;34364;34365;34366;34367;34368;34369;34370;34371;34372;34373;34374;40069;40070;40071;40072;40073;40074;40075;40076;40077;40078;40079;40080;42308;42309;43532;43533;43534;43535;43536;43537;50385;50386;50387;50388;50389;50390;64741;64742;64743;64744;64745;64746;89802;89803;89804;89805;89806;89807;89808;89809;89810	1553;1554;21854;21855;21856;21857;21858;21859;21860;24802;24803;24804;24805;24806;24807;25522;25523;29629;29630;29631;29632;29633;29634;29635;29636;29637;29638;29639;31520;32421;32422;32423;32424;32425;32426;37469;37470;37471;47921;47922;47923;47924;47925;47926;66987;66988;66989;66990;66991	1554;21857;24804;25523;29638;31520;32424;37469;47922;66989	432	393
LOC_Os02g55880.1	LOC_Os02g55880.1	3	3	3	"LOC_Os02g55880.1 LOC_Os02g55880.1|13102.m06415|protein EF hand family protein, putative, expressed"	1	3	3	3	3	3	3	2	1	2	3	3	3	2	1	2	3	3	3	2	1	2	23.4	23.4	23.4	20.205	175	175	0	21.211	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	23.4	23.4	23.4	16	12	16	306760000	66677000	64426000	60240000	48601000	38458000	28357000	65258000	63134000	56655000	0	0	0	2	2	2	1	0	2	9				1074	2587;5293;15119	True;True;True	2746;5598;16150	15709;15710;15711;15712;15713;31466;31467;31468;31469;31470;31471;92379;92380;92381	11589;11590;11591;11592;11593;23308;68974;68975;68976	11593;23308;68974		
LOC_Os02g56000.1;LOC_Os02g56000.2;LOC_Os06g07630.1	LOC_Os02g56000.1;LOC_Os02g56000.2;LOC_Os06g07630.1	10;9;9	9;8;8	9;8;8	"LOC_Os02g56000.1 LOC_Os02g56000.1|13102.m06429|protein 26S protease regulatory subunit 6A, putative, expressed;LOC_Os02g56000.2 LOC_Os02g56000.2|13102.m06430|protein 26S protease regulatory subunit 6A, putative, expressed;LOC_Os06g07630.1 LOC_Os06g07630.1|"	3	10	9	9	8	8	8	9	9	8	7	7	7	8	8	7	7	7	7	8	8	7	36.6	33.8	33.8	47.797	429	429;409;429	0	59.973	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.4	29.4	28.2	33.1	33.1	28.4	1890600000	236960000	335790000	221450000	407320000	332450000	356620000	282460000	261420000	271390000	184480000	200990000	167100000	7	7	4	6	7	5	36				1075	328;1206;2067;2799;6202;7919;8184;11663;11878;14128	True;True;True;True;False;True;True;True;True;True	347;1275;2201;2986;6558;8368;8652;8653;12468;12697;15084;15085	1939;1940;1941;1942;1943;1944;7299;7300;7301;7302;12586;12587;12588;12589;12590;12591;17097;17098;17099;17100;17101;17102;37204;37205;37206;37207;37208;37209;47558;49315;49316;49317;49318;49319;49320;49321;49322;49323;70694;70695;70696;72116;72117;72118;72119;72120;72121;86060;86061;86062;86063;86064;86065;86066;86067;86068	1429;1430;1431;1432;1433;5380;5381;9369;9370;9371;9372;9373;9374;12692;12693;12694;12695;12696;12697;27579;27580;27581;27582;27583;27584;35418;36717;36718;36719;36720;52382;52383;53415;53416;53417;53418;64071;64072;64073;64074;64075;64076	1430;5381;9373;12697;27581;35418;36720;52382;53418;64071	433;434;435;436	165;249;300;363
LOC_Os02g56030.1	LOC_Os02g56030.1	1	1	1	LOC_Os02g56030.1 LOC_Os02g56030.1|13102.m06435|protein expressed protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.7	10.7	10.7	12.977	122	122	0	2.9783	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	10.7	10.7	10.7	10.7	10.7	10.7	445580000	34536000	33067000	30836000	116280000	106450000	124420000	0	0	0	0	0	81313000	0	0	0	1	1	1	3				1076	8725	TRUE	9219	52434;52435;52436;52437;52438;52439	38948;38949;38950	38949		
LOC_Os02g56040.1	LOC_Os02g56040.1	7	7	7	"LOC_Os02g56040.1 LOC_Os02g56040.1|13102.m06436|protein chaperone protein dnaJ, putative, expressed"	1	7	7	7	6	5	6	5	6	6	6	5	6	5	6	6	6	5	6	5	6	6	21.6	21.6	21.6	52.017	487	487	0	59.237	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.1	16.2	18.7	16.2	19.1	19.1	3006300000	384570000	391490000	375000000	798040000	495960000	561270000	317890000	389990000	288580000	429510000	424850000	448790000	3	5	4	5	5	6	28				1077	1190;3488;3526;4572;7259;9626;11541	True;True;True;True;True;True;True	1254;3702;3741;4841;7678;10165;12339	7188;7189;7190;21073;21074;21075;21076;21077;21078;21291;21292;21293;21294;21295;21296;21297;21298;27387;27388;27389;27390;43678;43679;43680;43681;43682;43683;57557;57558;57559;57560;69911;69912;69913;69914;69915;69916	5308;5309;5310;15689;15690;15691;15692;15693;15847;15848;15849;15850;15851;20267;20268;32544;32545;32546;32547;32548;32549;32550;32551;32552;42508;51804;51805;51806	5310;15691;15850;20268;32551;42508;51804		
LOC_Os02g56110.2;LOC_Os02g56110.1	LOC_Os02g56110.2;LOC_Os02g56110.1	4;4	3;3	3;3	"LOC_Os02g56110.2 LOC_Os02g56110.2|13102.m06443|protein AP-1 complex subunit gamma-1, putative, expressed;LOC_Os02g56110.1 LOC_Os02g56110.1|13102.m06444|protein AP-1 complex subunit gamma-1, putative, expressed"	2	4	3	3	4	2	3	3	3	2	3	1	2	2	2	1	3	1	2	2	2	1	5.9	4.8	4.8	97.073	888	888;889	0	4.6903	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	5.9	2.3	4.6	4.8	4.8	3.6	112770000	24996000	5187300	17767000	32066000	21821000	10929000	18503000	0	0	23026000	17642000	0	1	0	0	1	2	1	5				1078	869;1487;10935;15159	True;True;True;False	916;1585;11690;16194	5214;5215;5216;5217;9191;9192;9193;9194;9195;66217;66218;92642;92643;92644;92645;92646;92647	3877;6840;6841;6842;48995;69159;69160;69161;69162;69163;69164	3877;6840;48995;69164		
LOC_Os02g56200.1;LOC_Os02g56200.2	LOC_Os02g56200.1;LOC_Os02g56200.2	2;1	2;1	2;1	"LOC_Os02g56200.1 LOC_Os02g56200.1|13102.m06456|protein  ELMO/CED-12 family protein, putative, expressed;LOC_Os02g56200.2 LOC_Os02g56200.2|13102.m06457|protein  ELMO/CED-12 family protein, putative, expressed"	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2.8	2.8	2.8	107.62	961	961;818	0	5.2019	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	2.8	2.8	1.6	2.8	2.8	2.8	97559000	7352200	10905000	0	27653000	35830000	15818000	0	10846000	0	16948000	0	0	0	1	1	1	0	1	4				1079	4008;5381	True;True	4250;5693	24130;24131;24132;24133;24134;32014;32015;32016;32017;32018;32019	17963;23723;23724;23725	17963;23725		
LOC_Os02g56210.1	LOC_Os02g56210.1	1	1	1	"LOC_Os02g56210.1 LOC_Os02g56210.1|13102.m06458|protein hydrolase, NUDIX family, domain containing protein, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.6	4.6	4.6	36.601	323	323	0	3.1972	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	4.6	4.6	4.6	4.6	4.6	4.6	87679000	11682000	14909000	14630000	16315000	17228000	12915000	0	0	0	0	0	8440400	1	1	1	1	0	0	4				1080	4961	TRUE	5253	29612;29613;29614;29615;29616;29617	21924;21925;21926;21927	21927		
LOC_Os02g56270.1	LOC_Os02g56270.1	1	1	1	"LOC_Os02g56270.1 LOC_Os02g56270.1|13102.m06464|protein ENTH domain containing protein, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	100.39	945	945	0	3.8184	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.4	1.4	1.4	1.4	1.4	1.4	130580000	22585000	22684000	23458000	19622000	16933000	25301000	0	0	0	0	0	16535000	1	1	1	1	1	1	6				1081	13201	TRUE	14102	80037;80038;80039;80040;80041;80042	59298;59299;59300;59301;59302;59303	59299		
LOC_Os02g56740.1	LOC_Os02g56740.1	1	1	1	"LOC_Os02g56740.1 LOC_Os02g56740.1|13102.m06520|protein translation initiation factor eIF-2B subunit epsilon, putative, expressed"	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	2.7	2.7	2.7	81.46	732	732	0.0016978	2.3538	By matching	By MS/MS	By matching				2.7	2.7	2.7	0	0	0	36796000	10889000	14454000	11453000	0	0	0	0	0	10888000	0	0	0	0	1	0	0	0	0	1				1082	3809	TRUE	4040	22971;22972;22973	17107	17107		
LOC_Os02g56850.4;LOC_Os02g56850.3;LOC_Os02g56850.2;LOC_Os02g56850.1	LOC_Os02g56850.4;LOC_Os02g56850.3;LOC_Os02g56850.2;LOC_Os02g56850.1	1;1;1;1	1;1;1;1	1;1;1;1	"LOC_Os02g56850.4 LOC_Os02g56850.4|13102.m06532|protein glutathione reductase, putative, expressed;LOC_Os02g56850.3 LOC_Os02g56850.3|13102.m06533|protein glutathione reductase, putative, expressed;LOC_Os02g56850.2 LOC_Os02g56850.2|13102.m06535|protein gluta"	4	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	4.2	4.2	4.2	38.574	359	359;496;496;496	0	3.3801		By MS/MS	By MS/MS		By matching	By matching	0	4.2	4.2	0	4.2	4.2	83221000	0	29605000	22329000	0	16930000	14358000	0	0	0	0	0	9383500	0	1	1	0	0	0	2				1083	14321	TRUE	15290	87298;87299;87300;87301	65003;65004	65004		
LOC_Os10g32920.1;LOC_Os03g04590.1;LOC_Os02g56960.1;LOC_Os03g04590.3;LOC_Os03g04590.2	LOC_Os10g32920.1;LOC_Os03g04590.1;LOC_Os02g56960.1;LOC_Os03g04590.3;LOC_Os03g04590.2	4;4;4;3;3	4;4;4;3;3	4;4;4;3;3	"LOC_Os10g32920.1 LOC_Os10g32920.1|13110.m02891|protein ribosomal protein, putative, expressed;LOC_Os03g04590.1 LOC_Os03g04590.1|13103.m00473|protein ribosomal protein, putative, expressed;LOC_Os02g56960.1 LOC_Os02g56960.1|13102.m06550|protein ribosomal pro"	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	32.1	32.1	32.1	15.031	140	140;140;140;104;104	0	10.406	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.1	32.1	32.1	32.1	32.1	32.1	1529300000	141720000	152770000	149970000	368400000	371580000	344900000	159750000	190350000	179400000	193160000	208100000	193670000	2	3	3	3	3	3	17				1084	6603;10632;11034;15425	True;True;True;True	6980;11347;11792;16485	39684;39685;39686;39687;39688;39689;64308;64309;64310;64311;64312;64313;66788;66789;66790;66791;66792;66793;94298;94299;94300;94301;94302;94303	29350;29351;47615;47616;47617;47618;47619;47620;49436;49437;49438;70353;70354;70355;70356;70357;70358	29351;47619;49438;70353		
LOC_Os02g56970.1	LOC_Os02g56970.1	5	5	5	"LOC_Os02g56970.1 LOC_Os02g56970.1|13102.m06551|protein uncharacterized protein yqjG, putative, expressed"	1	5	5	5	3	2	4	4	4	4	3	2	4	4	4	4	3	2	4	4	4	4	18.8	18.8	18.8	43.908	404	404	0	16.671	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.4	6.2	11.9	16.1	16.1	16.1	1091400000	153880000	111610000	148180000	263720000	193130000	220920000	133170000	146920000	131470000	146790000	0	153070000	2	1	1	2	2	3	11				1085	1112;1581;4738;11680;12105	True;True;True;True;True	1173;1685;5019;12486;12940	6749;6750;6751;6752;9682;9683;9684;9685;9686;9687;28339;28340;70806;70807;70808;70809;70810;73519;73520;73521;73522	4971;4972;7175;7176;7177;7178;7179;20974;52455;54389;54390;54391	4972;7178;20974;52455;54391		
LOC_Os02g57020.1	LOC_Os02g57020.1	2	2	2	"LOC_Os02g57020.1 LOC_Os02g57020.1|13102.m06556|protein YCF37, putative, expressed"	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	17.6	17.6	17.6	15.71	159	159	0	25.152	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.6	17.6	17.6	17.6	17.6	17.6	3302100000	394950000	411570000	497670000	674290000	677490000	646110000	403140000	403780000	471570000	412990000	418860000	428610000	3	3	4	4	6	5	25				1086	419;4081	True;True	439;4325	2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;24547;24548;24549;24550;24551;24552;24553;24554;24555;24556;24557;24558	1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;18251;18252;18253;18254;18255;18256;18257;18258;18259;18260	1829;18258		
LOC_Os02g57030.1;LOC_Os02g57030.2	LOC_Os02g57030.1;LOC_Os02g57030.2	5;4	5;4	5;4	LOC_Os02g57030.1 LOC_Os02g57030.1|13102.m06557|protein expressed protein;LOC_Os02g57030.2 LOC_Os02g57030.2|13102.m06558|protein expressed protein	2	5	5	5	5	3	5	5	5	5	5	3	5	5	5	5	5	3	5	5	5	5	29.3	29.3	29.3	33.155	307	307;239	0	33.669	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.3	11.7	29.3	29.3	29.3	29.3	4249100000	231090000	302680000	262710000	1007300000	1029000000	1416400000	168230000	254540000	186470000	521560000	554300000	591880000	3	5	4	8	5	6	31				1087	1883;4673;5563;8387;11743	True;True;True;True;True	2005;2006;4945;5888;5889;8863;12550;12551	11458;11459;11460;11461;11462;11463;11464;11465;11466;11467;27944;27945;27946;27947;27948;27949;33273;33274;33275;33276;33277;33278;33279;33280;33281;33282;33283;33284;50469;50470;50471;50472;50473;71210;71211;71212;71213;71214;71215;71216;71217;71218;71219;71220;71221	8486;8487;8488;8489;8490;8491;8492;8493;8494;20664;20665;20666;20667;20668;20669;24676;24677;24678;24679;24680;37515;52759;52760;52761;52762;52763;52764;52765;52766;52767;52768	8489;20665;24678;37515;52765	437;438;439	131;147;257
LOC_Os02g57040.3;LOC_Os02g57040.2;LOC_Os02g57040.1	LOC_Os02g57040.3;LOC_Os02g57040.2;LOC_Os02g57040.1	2;2;2	2;2;2	2;2;2	"LOC_Os02g57040.3 LOC_Os02g57040.3|13102.m06559|protein dehydrogenase, putative, expressed;LOC_Os02g57040.2 LOC_Os02g57040.2|13102.m06561|protein dehydrogenase, putative, expressed;LOC_Os02g57040.1 LOC_Os02g57040.1|13102.m06560|protein dehydrogenase, putati"	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7.8	7.8	7.8	27.452	255	255;358;381	0	4.3983	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	7.8	7.8	7.8	7.8	7.8	7.8	509710000	113150000	102050000	110700000	61955000	58258000	63595000	112980000	0	105410000	0	0	0	1	0	1	0	0	0	2				1088	6987;10826	True;True	7383;11572	41950;41951;41952;41953;41954;41955;65537;65538;65539;65540;65541;65542	31163;48497	31163;48497		
LOC_Os02g57100.1	LOC_Os02g57100.1	1	1	1	LOC_Os02g57100.1 LOC_Os02g57100.1|13102.m06568|protein expressed protein	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	5	5	5	28.263	258	258	0	9.9773		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	5	5	5	5	5	120280000	0	14298000	14457000	26333000	31579000	33609000	0	0	0	0	0	21965000	0	0	0	1	1	1	3				1089	4115	TRUE	4359	24719;24720;24721;24722;24723	18372;18373;18374	18374		
LOC_Os02g57120.1;LOC_Os02g57120.3	LOC_Os02g57120.1;LOC_Os02g57120.3	3;2	3;2	3;2	"LOC_Os02g57120.1 LOC_Os02g57120.1|13102.m06571|protein HEAT repeat family protein, putative, expressed;LOC_Os02g57120.3 LOC_Os02g57120.3|13102.m06570|protein HEAT repeat family protein, putative, expressed"	2	3	3	3	0	0	0	2	1	3	0	0	0	2	1	3	0	0	0	2	1	3	3	3	3	142.05	1277	1277;908	0	6.6603				By MS/MS	By matching	By MS/MS	0	0	0	1.6	1	3	72667000	0	0	0	21136000	18062000	33469000	0	0	0	14008000	0	21205000	0	0	0	1	0	3	4				1090	8171;11761;16067	True;True;True	8639;12570;17159	49243;71326;71327;71328;98504;98505	36654;52828;73705;73706	36654;52828;73705		
LOC_Os02g57160.1	LOC_Os02g57160.1	5	5	5	"LOC_Os02g57160.1 LOC_Os02g57160.1|13102.m06577|protein  ELMO/CED-12 family protein, putative, expressed"	1	5	5	5	3	3	1	5	5	4	3	3	1	5	5	4	3	3	1	5	5	4	8	8	8	86.619	784	784	0	9.2964	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	5.1	5.1	1.1	8	8	6.5	411470000	14385000	11316000	1159400	120840000	157060000	106710000	12641000	8968500	0	65058000	100570000	84201000	0	0	0	3	4	3	10				1091	1075;3258;3513;8198;14823	True;True;True;True;True	1134;3461;3728;8667;15829	6530;6531;6532;6533;6534;19724;19725;19726;19727;19728;19729;21226;21227;21228;21229;21230;49401;49402;49403;90517;90518	4847;4848;4849;14688;14689;15801;15802;15803;36767;67535	4848;14688;15801;36767;67535		
LOC_Os02g57180.1;LOC_Os02g57180.2;LOC_Os02g55720.1	LOC_Os02g57180.1;LOC_Os02g57180.2	14;13;3	14;13;3	14;13;3	"LOC_Os02g57180.1 LOC_Os02g57180.1|13102.m06579|protein NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed;LOC_Os02g57180.2 LOC_Os02g57180.2|13102.m06580|protein NADH dehydrogenase 1 alpha subcomplex subunit 9,mitoc"	3	14	14	14	12	12	10	12	13	13	12	12	10	12	13	13	12	12	10	12	13	13	45.3	45.3	45.3	44.309	408	408;311;391	0	127.11	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.6	42.6	33.8	40.2	42.9	42.9	13432000000	2254100000	2343100000	2060600000	2294400000	2191300000	2288000000	1981700000	2162600000	1834000000	1523700000	1553100000	1718100000	6	9	6	10	10	14	55				1092	2712;3269;3270;4552;6319;7311;7312;10464;11286;11291;13060;15518;16538;16665	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2892;3473;3474;4820;6681;7733;7734;11106;12073;12078;13956;16587;17656;17785	16573;16574;16575;16576;16577;16578;19782;19783;19784;19785;19786;19787;19788;19789;19790;19791;19792;27278;27279;27280;27281;27282;27283;27284;27285;27286;27287;27288;37935;37936;43998;43999;44000;44001;44002;44003;44004;44005;62911;62912;62913;68297;68298;68299;68300;68301;68302;68303;68319;68320;68321;68322;68323;68324;68325;68326;68327;68328;79180;79181;79182;79183;79184;79185;94930;94931;94932;94933;94934;94935;101350;101351;101352;101353;101354;101355;102041;102042;102043;102044;102045;102046	12304;12305;12306;14723;14724;14725;14726;14727;14728;14729;14730;14731;20194;20195;20196;20197;20198;20199;20200;20201;28083;32783;32784;32785;32786;32787;46555;46556;50544;50545;50546;50547;50548;50549;50558;50559;50560;58652;58653;58654;58655;58656;58657;70828;70829;70830;75922;75923;75924;75925;75926;75927;75928;76436;76437;76438;76439	12304;14724;14728;20200;28083;32784;32785;46555;50545;50560;58655;70830;75928;76438	440	98
LOC_Os02g57190.1	LOC_Os02g57190.1	1	1	1	"LOC_Os02g57190.1 LOC_Os02g57190.1|13102.m06581|protein Myosin head domain containing protein, expressed"	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1.6	1.6	1.6	142.77	1252	1252	0.0042565	1.9081	By MS/MS	By MS/MS	By MS/MS	By matching			1.6	1.6	1.6	1.6	0	0	57496000	11709000	17833000	15849000	12105000	0	0	0	0	0	7639600	0	0	1	1	1	0	0	0	3				1093	4481	TRUE	4744	26853;26854;26855;26856	19895;19896;19897	19897		
